,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02010100.xes,Hybrid ILP miner)",40,2,0.9876925088958034,7,25,0.8,3.5652173913043477,7,0.8947368421052632,1.425,0.07142857142857142,1,8
"(pdc2025_02010110.xes,Hybrid ILP miner)",48,1,0.9774178175281716,36,63,0.875,6.294117647058823,14,0.9333333333333333,2.5,0.10416666666666667,1,14
"(pdc2025_10110111.xes,Hybrid ILP miner)",22,0,1.0,1,5,0.2272727272727273,3.5,4,0.5,1.0909090909090908,0.09917355371900827,1,1
"(pdc2025_10010100.xes,Hybrid ILP miner)",33,0,0.7793498372920851,5,11,0.8181818181818181,3.230769230769231,4,0.75,1.2121212121212122,0.07407407407407407,1,7
"(pdc2025_00011010.xes,Hybrid ILP miner)",40,6,0.9798687566511528,14,31,0.9,4.333333333333333,7,0.9701492537313433,1.675,0.0845959595959596,1,13
"(pdc2025_02011110.xes,Hybrid ILP miner)",47,3,0.9402859586706311,14,29,0.8723404255319149,3.642857142857143,7,0.9710144927536232,1.4680851063829787,0.06318681318681318,1,16
"(pdc2025_12110111.xes,Hybrid ILP miner)",22,0,0.8112781244591328,2,4,0.2727272727272727,3.5,4,0.41666666666666663,1.0909090909090908,0.1,1,3
"(pdc2025_11001000.xes,Hybrid ILP miner)",57,3,0.9946937953613058,18,44,0.9473684210526316,4.171428571428572,8,0.9893617021276596,1.6491228070175439,0.05802469135802469,1,10
"(pdc2025_01000011.xes,Hybrid ILP miner)",56,1,0.8314743880097293,3,21,0.875,3.3684210526315788,7,0.8235294117647058,1.2142857142857142,0.04387096774193548,1,0
"(pdc2025_01011010.xes,Hybrid ILP miner)",49,0,0.9709505944546686,18,40,0.9183673469387755,4.4,8,0.9404761904761905,1.7142857142857142,0.07,1,13
"(pdc2025_02101011.xes,Hybrid ILP miner)",41,0,0.9494520153879484,4,19,0.926829268292683,3.263157894736842,5,0.8846153846153846,1.2682926829268293,0.06220095693779904,1,4
"(pdc2025_11001110.xes,Hybrid ILP miner)",54,3,0.999525689293649,25,61,0.9074074074074074,4.769230769230769,10,0.9906542056074766,1.9814814814814814,0.07348901098901099,1,11
"(pdc2025_11100000.xes,Hybrid ILP miner)",40,0,0.0,0,10,0.8,3.0,3,0.6818181818181819,1.1,0.05555555555555555,1,0
"(pdc2025_12100010.xes,Hybrid ILP miner)",40,0,0.0,0,10,0.8,3.0,3,0.6818181818181819,1.1,0.05555555555555555,1,0
"(pdc2025_00000000.xes,Hybrid ILP miner)",42,0,0.7219280948873623,1,9,0.8571428571428572,3.0,3,0.6521739130434783,1.0952380952380953,0.05227272727272727,1,0
"(pdc2025_12000100.xes,Hybrid ILP miner)",47,1,1.0,13,36,0.8723404255319149,4.071428571428571,7,0.88,1.5957446808510638,0.06793478260869565,1,6
"(pdc2025_12011111.xes,Hybrid ILP miner)",45,4,0.9919924034538556,38,74,0.9555555555555556,6.052631578947368,11,1.0,2.688888888888889,0.11956521739130435,1,15
