,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02010100.xes,Inductive miner)",59,0,0.8112781244591328,3,37,0.9661016949152542,5.75,22,0.9545454545454546,1.4915254237288136,0.05962059620596206,11,0
"(pdc2025_02010110.xes,Inductive miner)",52,0,0.5916727785823275,2,38,1.0,6.571428571428571,21,1.0,1.6153846153846154,0.0875,10,0
"(pdc2025_10110111.xes,Inductive miner)",57,0,0.41381685030363374,5,30,1.0,3.9166666666666665,10,1.0,1.4035087719298245,0.05194805194805195,19,0
"(pdc2025_10010100.xes,Inductive miner)",35,0,0.7219280948873623,2,9,0.9428571428571428,3.2,4,0.725,1.1428571428571428,0.06535947712418301,2,0
"(pdc2025_00011010.xes,Inductive miner)",99,0,0.44648134689680297,7,48,0.9797979797979798,3.488372093023256,8,1.0,1.3131313131313131,0.027333894028595457,41,0
"(pdc2025_02011110.xes,Inductive miner)",52,1,0.6500224216483541,1,40,1.0,7.333333333333333,16,1.0,1.6153846153846154,0.09312638580931264,11,0
"(pdc2025_12110111.xes,Inductive miner)",37,0,0.0,0,33,1.0,16.5,23,1.0,1.7837837837837838,0.25,3,0
"(pdc2025_11001000.xes,Inductive miner)",63,0,0.7642045065086203,3,43,0.9365079365079365,5.666666666666667,17,0.9583333333333334,1.5238095238095237,0.05925925925925926,12,0
"(pdc2025_01000011.xes,Inductive miner)",40,0,0.0,0,36,1.0,18.0,27,1.0,1.8,0.25,3,0
"(pdc2025_01011010.xes,Inductive miner)",118,0,0.41381685030363374,9,64,1.0,3.9166666666666665,14,1.0,1.3898305084745763,0.024961948249619482,44,0
"(pdc2025_02101011.xes,Inductive miner)",44,0,0.0,0,40,1.0,20.0,31,1.0,1.8181818181818181,0.25,3,0
"(pdc2025_11001110.xes,Inductive miner)",52,0,0.5916727785823275,2,38,1.0,6.571428571428571,18,1.0,1.6153846153846154,0.0875,10,0
"(pdc2025_11100000.xes,Inductive miner)",101,0,0.8478617451660525,8,61,0.9603960396039604,3.5686274509803924,9,0.9857142857142858,1.386138613861386,0.028949545078577336,29,0
"(pdc2025_12100010.xes,Inductive miner)",46,0,0.0,0,41,1.0,16.4,28,1.0,1.7826086956521738,0.2,4,0
"(pdc2025_00000000.xes,Inductive miner)",46,0,0.7642045065086203,9,9,0.9565217391304348,4.888888888888889,11,0.7068965517241379,1.2608695652173914,0.05576923076923077,0,0
"(pdc2025_12000100.xes,Inductive miner)",57,0,0.863120568566631,3,39,0.9649122807017544,6.571428571428571,15,0.9545454545454546,1.543859649122807,0.06707317073170732,8,0
"(pdc2025_12011111.xes,Inductive miner)",56,0,0.5665095065529053,2,41,0.9464285714285714,6.333333333333333,21,1.0,1.5714285714285714,0.07482993197278912,12,0
