,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_02101111.xes,Alpha Plus miner)",45,2,0.9980008838722996,11,32,0.8888888888888888,4.947368421052632,11,0.9672131147540983,1.3555555555555556,0.0733173076923077,0,2
"(pdc2025_00100000.xes,Alpha Plus miner)",39,0,0.9182958340544896,2,10,0.9487179487179487,3.0,3,0.7272727272727273,1.1282051282051282,0.05789473684210526,0,1
"(pdc2025_10000100.xes,Alpha Plus miner)",38,0,0.9402859586706311,38,61,0.9473684210526316,7.357142857142857,36,1.0,2.9473684210526314,0.15555555555555556,0,3
"(pdc2025_12110110.xes,Alpha Plus miner)",72,5,0.954434002924965,48,60,0.9583333333333334,4.535714285714286,13,1.0,1.9444444444444444,0.056134723336006415,0,35
"(pdc2025_00101000.xes,Alpha Plus miner)",39,4,0.9927744539878083,5,16,1.0,3.0,3,0.8775510204081632,1.2564102564102564,0.06447368421052632,0,5
"(pdc2025_00110110.xes,Alpha Plus miner)",19,4,0.9709505944546686,7,25,0.7894736842105263,6.8,12,1.0,2.1578947368421053,0.3416666666666667,0,0
"(pdc2025_10111010.xes,Alpha Plus miner)",18,1,0.0,0,13,0.8888888888888888,12.5,13,1.0,1.3888888888888888,0.390625,0,0
"(pdc2025_12011110.xes,Alpha Plus miner)",67,12,0.9828586897127056,38,67,0.9253731343283582,4.6923076923076925,14,0.9924812030075187,1.9850746268656716,0.0603448275862069,0,28
"(pdc2025_10101110.xes,Alpha Plus miner)",22,4,0.9182958340544896,1,15,0.8181818181818181,6.166666666666667,11,1.0,1.3636363636363635,0.20833333333333334,0,0
"(pdc2025_10011010.xes,Alpha Plus miner)",19,4,0.8812908992306927,4,23,0.8421052631578947,6.1,17,1.0,2.0,0.3958333333333333,0,0
"(pdc2025_02110111.xes,Alpha Plus miner)",50,9,0.9798687566511528,32,64,0.96,5.555555555555555,39,1.0,2.12,0.08702791461412152,0,12
"(pdc2025_10100010.xes,Alpha Plus miner)",22,3,0.0,0,7,0.9090909090909091,8.5,10,1.0,0.7727272727272727,0.2125,0,0
"(pdc2025_02110110.xes,Alpha Plus miner)",50,9,0.9798687566511528,32,64,0.96,5.555555555555555,39,1.0,2.12,0.08702791461412152,0,12
"(pdc2025_11001100.xes,Alpha Plus miner)",67,6,0.9559312637896478,56,101,1.0,5.409836065573771,72,1.0,2.537313432835821,0.07713248638838476,0,22
"(pdc2025_10001010.xes,Alpha Plus miner)",27,3,0.9709505944546686,4,17,0.9259259259259259,4.7,11,1.0,1.2592592592592593,0.12142857142857143,0,1
"(pdc2025_00000110.xes,Alpha Plus miner)",26,6,0.9967916319816366,13,32,0.9230769230769231,6.466666666666667,13,1.0,2.1153846153846154,0.1909722222222222,0,2
"(pdc2025_12111000.xes,Alpha Plus miner)",134,35,0.8020771588818674,159,158,1.0,5.541984732824427,20,1.0,2.7313432835820897,0.05606617647058824,0,96
"(pdc2025_01001110.xes,Alpha Plus miner)",61,14,1.0,24,49,0.9836065573770492,3.9047619047619047,9,1.0,1.5737704918032787,0.05172413793103448,0,26
"(pdc2025_11101100.xes,Alpha Plus miner)",98,50,0.906370188607791,77,115,1.0,4.9655172413793105,18,1.0,2.306122448979592,0.05647176411794103,0,61
"(pdc2025_02000000.xes,Alpha Plus miner)",72,0,0.9760206482366149,15,43,0.9722222222222222,3.409090909090909,6,0.9509803921568627,1.4166666666666667,0.03935185185185185,0,11
"(pdc2025_01010111.xes,Alpha Plus miner)",43,4,0.9043814577244937,23,47,0.9302325581395349,5.76,32,1.0,1.9069767441860466,0.09276018099547512,0,8
"(pdc2025_02100111.xes,Alpha Plus miner)",53,13,0.9751190649408661,20,33,0.9245283018867925,4.37037037037037,10,0.9583333333333334,1.3584905660377358,0.05357142857142857,0,12
"(pdc2025_12110100.xes,Alpha Plus miner)",95,16,0.9182958340544896,91,100,0.9789473684210527,5.285714285714286,13,1.0,2.431578947368421,0.0603448275862069,0,57
"(pdc2025_00100111.xes,Alpha Plus miner)",22,4,0.9852281360342515,4,16,0.8636363636363636,5.714285714285714,9,1.0,1.2727272727272727,0.19444444444444445,0,0
"(pdc2025_12111011.xes,Alpha Plus miner)",56,13,0.9837082626231859,33,52,0.9642857142857143,5.05,10,1.0,1.9285714285714286,0.0703125,0,16
"(pdc2025_12000110.xes,Alpha Plus miner)",74,8,0.9374561707820048,76,124,0.972972972972973,6.2615384615384615,80,1.0,2.824324324324324,0.07775297619047619,0,31
