,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_11110011.xes,Heuristics miner)",123,3,0.5586293734521992,2,25,0.967479674796748,3.3043478260869565,6,0.4890510948905109,1.113821138211382,0.01825692963752665,38,0
"(pdc2025_12101000.xes,Heuristics miner)",173,1,0.0,0,50,0.976878612716763,3.5384615384615383,5,0.6831683168316831,1.1676300578034682,0.013888888888888888,64,0
"(pdc2025_11111111.xes,Heuristics miner)",119,3,0.228538143953528,0,30,0.8823529411764706,3.259259259259259,5,0.6296296296296297,1.134453781512605,0.019374282433983925,40,0
"(pdc2025_00110111.xes,Heuristics miner)",67,4,0.6962122601251458,2,17,0.9402985074626866,3.375,6,0.5844155844155844,1.1492537313432836,0.034684684684684684,21,0
"(pdc2025_12100110.xes,Heuristics miner)",146,4,0.20062232431271465,0,36,0.904109589041096,3.25,5,0.6121212121212121,1.13013698630137,0.015720274390243903,49,0
"(pdc2025_00100100.xes,Heuristics miner)",85,1,0.7950402793845223,3,29,0.9529411764705882,3.6,7,0.6923076923076923,1.223529411764706,0.02947845804988662,30,0
"(pdc2025_11000010.xes,Heuristics miner)",138,2,0.4394969869215134,1,24,0.9710144927536232,3.1818181818181817,4,0.42666666666666664,1.0869565217391304,0.01583614864864865,41,0
"(pdc2025_02011011.xes,Heuristics miner)",165,5,0.1654270339962668,0,60,0.9757575757575757,3.902439024390244,5,0.7733990147783252,1.2303030303030302,0.015702351485148515,68,0
"(pdc2025_10000111.xes,Heuristics miner)",80,1,0.7424875695421236,2,21,0.95,3.3684210526315788,5,0.5652173913043479,1.15,0.02904040404040404,25,0
"(pdc2025_11110010.xes,Heuristics miner)",123,3,0.5586293734521992,2,25,0.967479674796748,3.3043478260869565,6,0.4890510948905109,1.113821138211382,0.01825692963752665,38,0
"(pdc2025_00111110.xes,Heuristics miner)",66,5,0.7219280948873623,2,15,0.9393939393939394,3.3333333333333335,6,0.5466666666666666,1.1363636363636365,0.034722222222222224,20,0
"(pdc2025_01011100.xes,Heuristics miner)",119,4,0.5159469300074474,2,30,0.957983193277311,3.4615384615384617,5,0.6131386861313868,1.1512605042016806,0.019661308840413318,40,0
"(pdc2025_02000010.xes,Heuristics miner)",164,2,0.2761954276479391,1,44,0.975609756097561,3.0952380952380953,4,0.6666666666666667,1.1341463414634145,0.014039855072463768,55,0
"(pdc2025_11111110.xes,Heuristics miner)",119,3,0.228538143953528,0,30,0.8823529411764706,3.259259259259259,5,0.6296296296296297,1.134453781512605,0.019374282433983925,40,0
"(pdc2025_10010110.xes,Heuristics miner)",66,5,0.7219280948873623,2,15,0.9393939393939394,3.3333333333333335,6,0.5466666666666666,1.1363636363636365,0.034722222222222224,20,0
"(pdc2025_12101100.xes,Heuristics miner)",153,5,0.1792560669283215,0,46,0.9084967320261438,3.4594594594594597,5,0.6983240223463687,1.1699346405228759,0.015712780898876403,56,0
"(pdc2025_01101100.xes,Heuristics miner)",138,5,0.21639693245126462,0,39,0.9710144927536232,3.6551724137931036,5,0.639751552795031,1.1666666666666667,0.017349137931034483,50,0
"(pdc2025_10000000.xes,Heuristics miner)",82,0,0.7219280948873623,1,9,0.926829268292683,3.0,3,0.34883720930232553,1.048780487804878,0.025595238095238095,21,0
"(pdc2025_02111100.xes,Heuristics miner)",149,5,0.1792560669283215,0,54,0.9731543624161074,3.891891891891892,5,0.7704918032786885,1.2281879194630871,0.01733611216369837,61,0
"(pdc2025_12000011.xes,Heuristics miner)",162,2,0.2974722489192896,1,40,0.9753086419753086,3.1052631578947367,4,0.6153846153846154,1.123456790123457,0.01404320987654321,53,0
"(pdc2025_10110000.xes,Heuristics miner)",71,5,0.6722948170756379,2,17,0.9436619718309859,3.2941176470588234,6,0.5802469135802469,1.1408450704225352,0.03245192307692308,22,0
