,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_11000010.xes,Alpha miner)",65,18,0.9934472383802027,23,46,0.9384615384615385,4.166666666666667,10,0.9903846153846154,1.6,0.04924242424242424,0,17
"(pdc2025_02011011.xes,Alpha miner)",100,15,0.8968928834064589,80,88,0.98,4.807228915662651,16,1.0,2.13,0.04894301470588235,0,61
"(pdc2025_10000111.xes,Alpha miner)",29,19,0.9940302114769565,4,17,0.7241379310344828,3.8181818181818183,7,0.90625,1.103448275862069,0.08080808080808081,0,3
"(pdc2025_11110010.xes,Alpha miner)",77,8,0.8890349038123858,62,76,0.974025974025974,5.080645161290323,16,1.0,2.1818181818181817,0.061224489795918366,0,45
"(pdc2025_00111110.xes,Alpha miner)",19,5,0.9709505944546686,1,14,0.8947368421052632,6.4,13,0.962962962962963,1.4210526315789473,0.225,0,1
"(pdc2025_01011100.xes,Alpha miner)",54,16,0.9967916319816366,11,30,0.962962962962963,3.433333333333333,6,0.8904109589041096,1.3518518518518519,0.05013736263736264,0,12
"(pdc2025_02000010.xes,Alpha miner)",116,15,0.8538738465459896,103,116,0.9913793103448276,4.884615384615385,13,1.0,2.25,0.0453125,0,72
"(pdc2025_11111110.xes,Alpha miner)",70,7,0.8497511372532974,55,69,0.9714285714285714,4.982758620689655,12,1.0,2.2,0.0673076923076923,0,41
"(pdc2025_10010110.xes,Alpha miner)",20,2,0.954434002924965,3,14,0.9,4.375,9,1.0,1.25,0.16666666666666666,0,3
"(pdc2025_12101100.xes,Alpha miner)",126,17,0.8112781244591328,135,156,1.0,5.55,20,1.0,2.6746031746031744,0.056017287234042555,0,90
"(pdc2025_01101100.xes,Alpha miner)",73,23,0.9747785474909672,39,65,1.0,4.271186440677966,13,0.9927007299270073,1.8767123287671232,0.05368338557993731,0,31
"(pdc2025_10000000.xes,Alpha miner)",38,0,0.7219280948873623,1,9,0.9473684210526316,3.0,3,0.7142857142857143,1.105263157894737,0.058333333333333334,0,0
