,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_01001100.xes,Directly Follows miner)",375,0,0,0,343,0.992,22.193548387096776,45,1.0,1.8346666666666667,0.03225806451612903,314,0
"(pdc2025_02111111.xes,Directly Follows miner)",335,2,0,0,304,0.9850746268656716,19.612903225806452,41,1.0,1.8149253731343284,0.03225806451612903,274,0
"(pdc2025_01101110.xes,Directly Follows miner)",276,3,0,0,243,0.9818840579710145,16.266666666666666,37,0.9959183673469387,1.7753623188405796,0.03225806451612903,215,0
"(pdc2025_10001000.xes,Directly Follows miner)",171,0,0,0,148,1.0,13.545454545454545,21,1.0,1.7426900584795322,0.045454545454545456,128,0
"(pdc2025_12011011.xes,Directly Follows miner)",426,0,0,0,391,0.9882629107981221,23.058823529411764,40,1.0,1.84037558685446,0.029411764705882353,359,0
"(pdc2025_01010010.xes,Directly Follows miner)",342,0,0,0,311,0.9970760233918129,20.8,31,1.0,1.8245614035087718,0.03333333333333333,283,0
"(pdc2025_10000010.xes,Directly Follows miner)",189,0,0,0,165,0.9788359788359788,16.6,21,0.9940119760479041,1.7671957671957672,0.045454545454545456,146,0
"(pdc2025_01100011.xes,Directly Follows miner)",350,1,0,0,315,0.9885714285714285,18.58823529411765,33,1.0,1.8057142857142856,0.029411764705882353,283,0
"(pdc2025_10011111.xes,Directly Follows miner)",120,0,0,0,102,0.9916666666666667,12.117647058823529,23,1.0,1.7166666666666666,0.058823529411764705,87,0
"(pdc2025_11010110.xes,Directly Follows miner)",275,1,0,0,245,0.9890909090909091,18.25925925925926,43,0.9979757085020243,1.7963636363636364,0.03571428571428571,220,0
"(pdc2025_00101111.xes,Directly Follows miner)",158,0,0,0,137,0.9873417721518988,13.8,26,1.0,1.7468354430379747,0.05,119,0
"(pdc2025_12110000.xes,Directly Follows miner)",148,4,0,0,105,0.972972972972973,8.0,17,0.9473684210526316,1.5405405405405406,0.029411764705882353,81,0
"(pdc2025_12011010.xes,Directly Follows miner)",426,0,0,0,391,0.9882629107981221,23.058823529411764,40,1.0,1.84037558685446,0.029411764705882353,359,0
"(pdc2025_00001011.xes,Directly Follows miner)",198,0,0,0,175,1.0,16.0,21,1.0,1.7777777777777777,0.045454545454545456,155,0
"(pdc2025_11100010.xes,Directly Follows miner)",295,1,0,0,260,0.9932203389830508,15.352941176470589,29,1.0,1.769491525423729,0.029411764705882353,228,0
"(pdc2025_02110100.xes,Directly Follows miner)",207,1,0,0,174,0.9710144927536232,12.068965517241379,32,0.9943181818181818,1.7004830917874396,0.03225806451612903,146,0
"(pdc2025_02110010.xes,Directly Follows miner)",435,0,0,0,401,0.9908045977011495,23.58823529411765,39,1.0,1.8436781609195403,0.029411764705882353,368,0
"(pdc2025_02111110.xes,Directly Follows miner)",335,2,0,0,304,0.9850746268656716,19.612903225806452,41,1.0,1.8149253731343284,0.03225806451612903,274,0
"(pdc2025_12101010.xes,Directly Follows miner)",439,4,0,0,400,0.9908883826879271,21.105263157894736,41,1.0,1.826879271070615,0.02631578947368421,364,0
"(pdc2025_01010100.xes,Directly Follows miner)",265,1,0,0,235,0.9773584905660377,18.153846153846153,37,0.9957805907172996,1.788679245283019,0.03571428571428571,210,0
