,Size,Connector Mismatch,Connector Heterogeneity,Token split,Control flow complexity,Separability,Average connector degree,Maximum connector degree,Sequentiality,Coefficient of network connectivity,Density,Number of duplicate tasks,Number of empty sequence flows
"(pdc2025_12000111.xes,Directly Follows miner)",452,1,0,0,417,0.995575221238938,24.58823529411765,59,1.0,1.8495575221238938,0.029411764705882353,385,0
"(pdc2025_12110010.xes,Directly Follows miner)",274,5,0,0,238,0.9817518248175182,14.875,31,0.9916666666666667,1.7518248175182483,0.029411764705882353,207,0
"(pdc2025_02001110.xes,Directly Follows miner)",539,0,0,0,504,0.9944341372912802,29.705882352941178,57,1.0,1.8738404452690167,0.029411764705882353,472,0
"(pdc2025_11100111.xes,Directly Follows miner)",273,0,0,0,238,0.978021978021978,17.666666666666668,39,0.9855371900826446,1.7728937728937728,0.03225806451612903,212,0
"(pdc2025_11000111.xes,Directly Follows miner)",358,0,0,0,325,0.9832402234636871,22.482758620689655,52,0.9969418960244648,1.8268156424581006,0.03225806451612903,297,0
"(pdc2025_00100011.xes,Directly Follows miner)",200,1,0,0,178,0.985,16.181818181818183,25,1.0,1.78,0.045454545454545456,157,0
"(pdc2025_12001110.xes,Directly Follows miner)",432,1,0,0,397,0.9953703703703703,23.41176470588235,56,1.0,1.8425925925925926,0.029411764705882353,365,0
"(pdc2025_11001010.xes,Directly Follows miner)",407,1,0,0,373,1.0,21.941176470588236,37,1.0,1.8329238329238329,0.029411764705882353,340,0
"(pdc2025_02001111.xes,Directly Follows miner)",539,0,0,0,504,0.9944341372912802,29.705882352941178,57,1.0,1.8738404452690167,0.029411764705882353,472,0
"(pdc2025_00101010.xes,Directly Follows miner)",171,0,0,0,148,1.0,13.545454545454545,22,1.0,1.7426900584795322,0.045454545454545456,128,0
"(pdc2025_10111111.xes,Directly Follows miner)",114,0,0,0,96,0.9912280701754386,11.411764705882353,21,1.0,1.7017543859649122,0.058823529411764705,81,0
"(pdc2025_10010010.xes,Directly Follows miner)",124,0,0,0,104,0.967741935483871,13.125,17,0.9905660377358491,1.7096774193548387,0.05555555555555555,89,0
"(pdc2025_11010000.xes,Directly Follows miner)",247,0,0,0,215,0.9838056680161943,15.428571428571429,26,0.9953917050691244,1.757085020242915,0.03333333333333333,188,0
"(pdc2025_11111100.xes,Directly Follows miner)",127,1,0,0,91,0.9921259842519685,8.173913043478262,18,0.9494949494949495,1.5590551181102361,0.03571428571428571,72,0
"(pdc2025_10111100.xes,Directly Follows miner)",77,0,0,0,58,1.0,7.0588235294117645,10,1.0,1.5584415584415585,0.058823529411764705,44,0
"(pdc2025_10101011.xes,Directly Follows miner)",183,0,0,0,160,1.0,14.636363636363637,24,1.0,1.7595628415300546,0.045454545454545456,140,0
"(pdc2025_11101010.xes,Directly Follows miner)",301,2,0,0,265,0.9900332225913622,16.12121212121212,35,0.9962546816479401,1.7740863787375416,0.029411764705882353,234,0
"(pdc2025_02100000.xes,Directly Follows miner)",277,1,0,0,235,0.9855595667870036,13.542857142857143,27,0.9916317991631799,1.7256317689530687,0.02631578947368421,202,0
"(pdc2025_02001011.xes,Directly Follows miner)",662,0,0,0,623,0.9984894259818731,32.8421052631579,43,1.0,1.8851963746223566,0.02631578947368421,587,0
"(pdc2025_11101000.xes,Directly Follows miner)",177,0,0,0,132,1.0,10.384615384615385,21,0.9440559440559441,1.615819209039548,0.029411764705882353,110,0
"(pdc2025_12100011.xes,Directly Follows miner)",364,4,0,0,324,0.9835164835164835,18.0,36,0.9938650306748467,1.7912087912087913,0.02631578947368421,289,0
"(pdc2025_02011010.xes,Directly Follows miner)",488,0,0,0,453,0.9979508196721312,26.705882352941178,38,1.0,1.860655737704918,0.029411764705882353,421,0
"(pdc2025_00110100.xes,Directly Follows miner)",73,0,0,0,52,0.9315068493150684,7.714285714285714,14,0.9642857142857143,1.5342465753424657,0.058823529411764705,40,0
"(pdc2025_11110011.xes,Directly Follows miner)",231,2,0,0,199,0.987012987012987,13.4,28,1.0,1.7402597402597402,0.03333333333333333,172,0
"(pdc2025_12101000.xes,Directly Follows miner)",243,2,0,0,200,1.0,11.542857142857143,27,0.9853658536585366,1.6872427983539096,0.02631578947368421,168,0
"(pdc2025_11111111.xes,Directly Follows miner)",225,1,0,0,195,0.9822222222222222,14.071428571428571,32,1.0,1.751111111111111,0.03571428571428571,170,0
"(pdc2025_00110111.xes,Directly Follows miner)",120,1,0,0,103,0.9833333333333333,12.117647058823529,22,1.0,1.7166666666666666,0.058823529411764705,87,0
